vehicle_id,datetime,latitude,longitude,altitude,speed,distance_traveled,cumulative_distance,direction,status,road_type,traffic_condition,,zone
V001,15-04-2009 13:44,26.161528,119.943234,39918.57228,18.58267812,92.91339059,92.91339059,216.3687515,Move,Local Road,Moderate Traffic,,Highway Zone
V001,15-04-2009 13:44,26.161667,119.943281,39918.57245,2.3951619,11.9758095,160.7643744,177.6205342,Move,Local Road,Heavy Traffic,,Highway Zone
V001,15-04-2009 13:44,26.16167,119.943128,39918.57251,3.060118659,15.30059329,176.0649677,271.2515111,Move,Local Road,Heavy Traffic,,Highway Zone
V001,15-04-2009 13:45,26.161411,119.942557,39918.57292,0.109361898,0.546809488,282.1748418,114.0203753,Move,Local Road,Heavy Traffic,,Urban Zone
V001,15-04-2009 13:45,26.161404,119.94257,39918.57309,0.102406458,0.512032288,283.7348855,102.5618463,Move,Local Road,Heavy Traffic,,Urban Zone
V001,15-04-2009 13:45,26.161398,119.942579,39918.57338,0.022158094,0.110790471,284.932039,180,Move,Local Road,Heavy Traffic,,Urban Zone
V001,15-04-2009 13:45,26.161397,119.94258,39918.57344,0.029846696,0.149233479,285.0812725,138.0902575,Move,Local Road,Heavy Traffic,,Urban Zone
V001,15-04-2009 13:46,26.161395,119.942582,39918.57361,0.029846696,0.149233479,285.4412769,138.0902578,Move,Local Road,Heavy Traffic,,Urban Zone
V001,15-04-2009 13:46,26.161395,119.942582,39918.57367,0,0,285.4412769,0,Stop,Local Road,Heavy Traffic,,Urban Zone
V001,15-04-2009 13:46,26.161394,119.942582,39918.57373,0.022158094,0.110790471,285.5520674,180,Move,Local Road,Heavy Traffic,,Urban Zone
V002,15-04-2009 13:44,26.161558,119.942401,39918.57263,0.995713712,4.978568558,259.4791898,100.3093838,Move,Local Road,Heavy Traffic,,Urban Zone
V002,15-04-2009 13:45,26.161405,119.942565,39918.57303,0.089540084,0.447700419,283.2228532,138.09026,Move,Local Road,Heavy Traffic,,Urban Zone
V002,15-04-2009 13:45,26.161403,119.942574,39918.57315,0.082996904,0.414984521,284.14987,105.5643419,Move,Local Road,Heavy Traffic,,Urban Zone
V002,15-04-2009 13:45,26.161401,119.942577,39918.57321,0.074582312,0.372911558,284.5227816,126.6034163,Move,Local Road,Heavy Traffic,,Urban Zone
V002,15-04-2009 13:45,26.1614,119.942578,39918.57326,0.029846695,0.149233477,284.672015,138.090259,Move,Local Road,Heavy Traffic,,Urban Zone
V002,15-04-2009 13:45,26.161399,119.942579,39918.57332,0.029846695,0.149233477,284.8212485,138.0902593,Move,Local Road,Heavy Traffic,,Urban Zone
V002,15-04-2009 13:45,26.161396,119.94258,39918.5735,0.022158094,0.110790471,285.1920629,180,Move,Local Road,Heavy Traffic,,Urban Zone
V002,15-04-2009 13:45,26.161396,119.942581,39918.57355,0.019996102,0.099980512,285.2920434,89.99999959,Move,Local Road,Heavy Traffic,,Urban Zone
V002,15-04-2009 15:17,26.161155,119.94247,39918.63715,0.005225733,28.58475932,314.3968507,203.168476,Move,Local Road,Heavy Traffic,,Urban Zone
V002,15-04-2009 15:17,26.161099,119.942489,39918.63727,0.322993087,1.614965435,322.0020154,97.92839984,Move,Local Road,Heavy Traffic,,Urban Zone
V003,15-04-2009 13:44,26.162202,119.943787,39918.57222,0,0,0,0,Stop,Local Road,Heavy Traffic,,Highway Zone
V003,15-04-2009 13:44,26.1619,119.943228,39918.57234,8.243684476,41.21842238,134.131813,359.1706075,Move,Local Road,Heavy Traffic,,Highway Zone
V003,15-04-2009 13:44,26.161775,119.943276,39918.5724,2.931350385,14.65675193,148.7885649,160.9829623,Move,Local Road,Heavy Traffic,,Highway Zone
V003,15-04-2009 13:44,26.161566,119.942352,39918.57257,15.68713072,78.43565359,254.5006213,261.5076463,Move,Local Road,Moderate Traffic,,Urban Zone
V003,15-04-2009 13:44,26.161482,119.942477,39918.57269,2.268347825,11.34173913,270.820929,138.0902717,Move,Local Road,Heavy Traffic,,Urban Zone
V003,15-04-2009 13:44,26.161461,119.942491,39918.57274,0.543039622,2.715198109,273.5361271,149.1049588,Move,Local Road,Heavy Traffic,,Urban Zone
V003,15-04-2009 13:44,26.16143,119.94253,39918.5728,1.039228205,5.196141025,278.7322681,131.5279801,Move,Local Road,Heavy Traffic,,Urban Zone
V003,15-04-2009 13:44,26.161413,119.942552,39918.57286,0.579152844,2.895764219,281.6280323,130.7259545,Move,Local Road,Heavy Traffic,,Urban Zone
V003,15-04-2009 13:45,26.161408,119.942562,39918.57297,0.120062195,0.600310977,282.7751528,123.7620261,Move,Local Road,Heavy Traffic,,Urban Zone
V003,15-04-2009 13:46,26.161393,119.942582,39918.57378,0.022158094,0.110790471,285.6628579,180,Move,Local Road,Heavy Traffic,,Urban Zone
